CustomerID,Name,Age,Gender,Email,City,Signup_Date,Last_Login,Subscription_Type,Monthly_Charges,Total_Spend,Ratings,Satisfaction_Score,Is_Premium
CUST_0001,Lori Fritz,56.0,Female,woodangela@example.net,New York,2022-02-26,2024-10-09 00:06:31,Basic,103.29,3833.48,1.3,9,False
CUST_0002,Jeff Bush,69.0,Male,amy61@example.com,Paris,2022-02-25,,Basic,70.94,2575.07,3.9,3,True
CUST_0003,John Thompson MD,46.0,Male,rebeccabowman@example.com,Tokyo,2023-12-30,2024-08-25 07:47:34,Basic,46.53,4943.02,1.8,5,True
CUST_0004,Alexis Anderson,32.0,Male,cheryl21@example.com,New York,2024-02-23,2024-05-11 06:12:53,Enterprise,68.8,2379.86,3.8,4,False
CUST_0005,Michael Kidd,60.0,Male,amygregory@example.org,Paris,2023-03-31,2024-02-09 21:42:38,Basic,195.23,385.37,2.6,10,True
CUST_0006,Wendy Lewis,25.0,Male,bbrown@example.net,New York,2024-08-07,,Premium,88.11,1385.14,2.7,6,True
CUST_0007,Patricia Rodriguez,38.0,Male,jacobskaren@example.net,New York,2022-02-14,2024-05-18 10:20:17,Basic,94.5,2236.75,2.9,10,False
CUST_0008,Kathleen Williams,56.0,Male,xturner@example.net,Sydney,2022-11-07,2024-08-25 10:38:40,Basic,119.54,868.82,2.5,4,False
CUST_0009,Megan Gonzalez,36.0,Male,,Paris,2023-11-25,2024-03-30 04:33:48,Basic,196.83,4743.07,1.4,8,False
CUST_0010,Karina Lowe,40.0,Female,carpenterrachael@example.org,Tokyo,2024-02-13,2024-08-01 07:56:44,Basic,55.9,3857.56,2.2,3,False
CUST_0011,Amanda Gilbert,28.0,Female,dennissmith@example.net,Tokyo,2022-10-20,2024-11-22 01:20:02,Basic,139.44,1414.61,3.7,5,False
CUST_0012,Emily Campos,28.0,Female,billy13@example.com,Paris,2024-08-26,2024-05-03 16:53:58,Premium,146.04,2994.94,3.7,1,True
CUST_0013,Lisa Mcgee,41.0,Female,boneill@example.org,Sydney,2022-04-29,2024-04-15 21:39:56,Premium,125.39,3635.1,2.1,6,False
CUST_0014,Jennifer Williams,53.0,Female,rgreen@example.org,London,2023-03-20,2025-01-18 20:58:36,Basic,26.83,4712.27,2.8,5,False
CUST_0015,Patricia Martinez,57.0,Male,,New York,2024-05-13,2024-02-14 22:47:10,Basic,138.61,4420.01,1.8,8,False
CUST_0016,Mary Riley PhD,41.0,Female,benjamin21@example.org,Sydney,2024-11-29,2024-03-03 10:19:17,Enterprise,22.18,2624.44,1.8,9,False
CUST_0017,Sydney Snyder,20.0,Female,mccannjustin@example.org,Paris,2023-12-29,2024-12-08 21:17:38,Basic,123.27,3895.8,1.1,8,True
CUST_0018,April Hurst,39.0,Female,youngjoseph@example.org,New York,2024-12-20,2024-12-07 01:55:39,Basic,150.52,2854.51,4.6,8,True
CUST_0019,Lisa Hill,19.0,Male,,Tokyo,2023-11-14,2024-04-14 12:09:42,Basic,50.08,2808.25,1.8,3,False
CUST_0020,Anna Cantrell,41.0,Male,stephaniejohnson@example.org,London,2023-07-19,2024-09-01 08:21:38,Premium,169.91,662.24,1.9,4,False
CUST_0021,Erica Salazar,61.0,Male,christystevens@example.org,Tokyo,2024-09-17,2024-05-04 02:42:45,Enterprise,15.77,718.07,2.1,4,False
CUST_0022,Richard Guzman MD,47.0,Male,stewartjessica@example.org,Paris,2023-09-21,2024-03-09 12:06:23,Basic,170.32,2694.71,1.5,5,True
CUST_0023,Deborah Phillips,55.0,Female,amandabrown@example.org,New York,2023-03-22,2025-01-21 21:55:42,Premium,97.46,1417.42,3.6,9,False
CUST_0024,Michael Johnson,19.0,Female,colliervickie@example.org,Paris,2022-08-17,2024-02-24 18:43:26,Premium,51.34,203.08,1.3,9,False
CUST_0025,Joshua Fleming,38.0,Male,rodriguezmary@example.com,New York,2023-12-18,2024-09-16 01:55:59,Basic,35.42,3641.91,1.5,10,False
CUST_0026,Ryan Benitez,50.0,Other,deanscott@example.org,Sydney,2023-11-16,2024-07-23 02:15:10,Basic,191.13,259.18,3.6,1,False
CUST_0027,Valerie Odom MD,29.0,Female,aaronballard@example.org,London,2023-12-12,2024-03-09 04:43:18,Basic,23.81,3016.86,2.4,8,False
CUST_0028,Andrew Sandoval,39.0,Male,vwatson@example.com,Sydney,2022-10-19,2024-05-04 16:41:13,Enterprise,47.83,2742.05,3.8,1,True
CUST_0029,Brett Reilly,,Male,judysmith@example.org,Sydney,2023-05-25,2024-06-21 08:44:40,Basic,76.09,4847.19,3.2,2,False
CUST_0030,Denise Taylor,42.0,Male,elizabethbautista@example.net,Paris,2022-06-08,2024-10-16 11:31:28,Premium,127.84,2472.64,2.0,7,False
CUST_0031,Justin Turner,66.0,Male,gilmorechristine@example.org,London,2024-01-11,2024-07-25 07:26:36,Basic,113.51,411.65,3.6,8,True
CUST_0032,Ross Robertson,44.0,Male,aaron88@example.net,New York,2022-07-03,,Premium,33.87,2803.27,1.5,1,True
CUST_0033,Richard Anderson,59.0,Male,jonesgabriel@example.com,New York,2023-09-16,2024-10-26 09:28:30,Basic,65.05,,3.1,3,False
CUST_0034,Patrick Ford,45.0,Male,ehernandez@example.com,Tokyo,2022-06-25,2025-01-10 02:54:54,Basic,55.36,4984.56,2.7,7,False
CUST_0035,Scott Cole,33.0,Male,poneill@example.org,New York,2024-02-13,2024-11-05 07:40:00,Premium,50.57,2208.68,2.1,9,False
CUST_0036,Maria Moss,32.0,Female,jill24@example.org,Paris,2024-02-02,2024-10-08 23:02:32,Premium,88.12,1669.46,3.4,8,True
CUST_0037,Christina Tucker,64.0,Male,hicksvanessa@example.org,Sydney,2024-02-24,2024-06-02 15:58:33,Premium,143.77,4542.6,4.5,8,False
CUST_0038,Tara Thomas,68.0,Female,gtaylor@example.com,Sydney,2023-02-06,,Basic,51.32,1037.09,5.0,9,False
CUST_0039,Richard Lopez,,Male,autumn04@example.com,Sydney,2022-04-09,2024-02-02 11:53:05,Premium,79.67,3115.6,3.4,10,False
CUST_0040,Vincent Hall,69.0,Other,agriffin@example.com,London,2023-02-01,2024-03-09 19:58:28,Basic,84.27,2088.0,2.6,3,False
CUST_0041,Spencer Tucker,20.0,Male,,New York,2022-09-14,2025-01-05 14:38:59,Basic,195.53,301.3,1.9,8,False
CUST_0042,Matthew Lee,54.0,Male,brucebradley@example.org,Paris,2023-07-20,2025-01-09 11:14:35,Basic,191.39,1801.71,2.0,1,False
CUST_0043,Casey Anderson,68.0,Other,porterbrandi@example.net,London,2024-11-18,2024-03-27 00:25:40,Basic,162.03,1399.62,2.9,8,False
CUST_0044,Andrea Newman,24.0,Female,tylerarroyo@example.org,Tokyo,2022-07-15,,Basic,55.92,3461.85,2.5,7,False
CUST_0045,Emma Saunders,38.0,Female,tdavis@example.com,Paris,2025-01-24,2024-08-25 18:21:07,Enterprise,22.93,4749.07,4.7,8,False
CUST_0046,Jacob Lin,26.0,Male,lynnscott@example.net,Paris,2023-05-11,2024-08-20 07:31:14,Basic,70.21,1413.43,2.5,1,False
CUST_0047,Kevin Lynch,56.0,Male,akelly@example.net,Paris,2022-12-22,,Premium,60.69,4076.18,2.5,6,False
CUST_0048,Robert Rodriguez,35.0,Female,eric25@example.com,Sydney,2022-08-13,2024-02-21 10:32:18,Basic,106.13,,2.5,7,False
